quote,cited
Multi-Agent Deep Reinforcement Learning for Trajectory Design and Power Allocation in Multi-UAV Networks.,R & D indicators and socio-economic cohesion.
A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.,Fast k-Nearest Neighbor Searching in Static Objects.
A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.,A Novel 3D Indoor Localization Scheme Using Virtual Access Point.
A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.,Clustering bivariate mixed-type data via the cluster-weighted model.
A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.,Multi-Invariance ESPRIT-Based Blind DOA Estimation for MC-CDMA With an Antenna Array.
A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.,The Questioning Turing Test.
A Stochastic Joint Replenishment Problem with Dissimilar Items.,Human-computer interaction and standardization.
A Stochastic Joint Replenishment Problem with Dissimilar Items.,Targeted estimation of heterogeneous treatment effect in observational survival analysis.
A Stochastic Joint Replenishment Problem with Dissimilar Items.,On the Declarative Specification of Models.
A Stochastic Joint Replenishment Problem with Dissimilar Items.,Improving the prediction performance of customer behavior through multiple imputation.
A Stochastic Joint Replenishment Problem with Dissimilar Items.,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.,A generic framework for heap and value analyses of object-oriented programming languages.
Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.,UCL facsimile system.
Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.,Stepwise structural verification of cyclic workflow models with acyclic decomposition and reduction of loops.
Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.,Correlation analysis of target echoes using distributed transmit array.
Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999."
Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.,Determination of optimal order-up to level quantities for dependent spare parts using data mining.
Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.,What can software engineers learn from manufacturing to improve software process and product?
Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.,Animal behavior as a paradigm for developing robot autonomy.
Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.,FCC's Broadband Quartet: A State-Federal Fugue or Feud?
Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Entanglement cost of generalised measurements.
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels."
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Assessment for soil improvement benefit of land rehabilitation in dump areas.
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Applying Case-Based Reasoning to Tactical Cognitive Sensor Networks for Dynamic Frequency Allocation.
Topic-based label distribution learning to exploit label ambiguity for scene classification.,A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.
Topic-based label distribution learning to exploit label ambiguity for scene classification.,PANFIS: A Novel Incremental Learning Machine.
Topic-based label distribution learning to exploit label ambiguity for scene classification.,A Novel 3D Indoor Localization Scheme Using Virtual Access Point.
Topic-based label distribution learning to exploit label ambiguity for scene classification.,A high-resolution method for the depth-integrated solute transport equation based on an unstructured mesh.
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,The Relationship Between Trust and Use Choice in Human-Robot Interaction.
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,CMPF: Class-switching minimized pathfinding in metabolic networks.
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,A method to optimize evacuation instructions.
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Hitori Numbers.
Leverage Point Identification Method for LAV-Based State Estimation.,Cerebrospinal fluid control system.
Leverage Point Identification Method for LAV-Based State Estimation.,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.
Leverage Point Identification Method for LAV-Based State Estimation.,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.
Leverage Point Identification Method for LAV-Based State Estimation.,Assessment for soil improvement benefit of land rehabilitation in dump areas.
Leverage Point Identification Method for LAV-Based State Estimation.,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Blockchain Standard: Can We Reach Consensus?
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Central versus local multiple stage inventory planning: An analysis of solutions.
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Computationally efficient optimization models for preliminary distillation column design and separation energy targeting.
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Solving Some Affine Equations over Finite Fields.
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,"The Yale human grasping dataset: Grasp, object, and task data in household and machine shop environments."
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Product Cost Management Structures: a review and neural network modelling.
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Pulsar: A resource-control architecture for time-critical service-oriented applications.
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,FAC: A Functional APL Language.
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,TCP Pegas: A PSO-based improvement over TCP Vegas.
Investigating voice in action teams: a critical review.,E-medical diagnosis support system for non-invasive liver fibrosis recognition.
Investigating voice in action teams: a critical review.,The effects of transparency on trust in and acceptance of a content-based art recommender.
Investigating voice in action teams: a critical review.,On an algorithm for Vision-based hand gesture recognition.
Investigating voice in action teams: a critical review.,A pragmatic approach to integrated process/device/circuit simulation for IC technology development.
Investigating voice in action teams: a critical review.,Distance Oracles beyond the Thorup-Zwick Bound.
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,Expected model for portfolio selection with random fuzzy returns.
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,Guest Editors' Introduction: Special Issue on Cloud of Clouds.
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,Digitale Transformation im stationären Einzelhandel.
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,A Macroscopic Traffic Data-Assimilation Framework Based on the Fourier-Galerkin Method and Minimax Estimation.
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,Generalized Sphere-Packing Bounds on the Size of Codes for Combinatorial Channels.
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,Accounting for Dynamic Diversity Among Child Users of IoT.
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,Hyper-Atoms Applied to the Critical Pair Theory.
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,Secure Transmission in Linear Multihop Relaying Networks.
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels."
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,Clustering bivariate mixed-type data via the cluster-weighted model.
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,Implementation and performance analysis of various VM placement strategies in CloudSim.
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,Local search heuristics for multi-index assignment problems with decomposable costs.
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,FUCEM: futuristic cooperation evaluation model using Markov process for evaluating node reliability and link stability in mobile ad hoc network.
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,Automatic scaling range selection for long-range dependent network traffic.
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,Clustering bivariate mixed-type data via the cluster-weighted model.
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,Updating the Agenda for Academic Libraries and Scholarly Communications.
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,A multimodal fusion approach for image captioning.
Substitutive Systems and a Finitary Version of Cobham's Theorem.,Maximum Matchings in General Graphs Through Randomization.
Substitutive Systems and a Finitary Version of Cobham's Theorem.,A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.
Substitutive Systems and a Finitary Version of Cobham's Theorem.,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.
Substitutive Systems and a Finitary Version of Cobham's Theorem.,EcoCyc: fusing model organism databases with systems biology.
Substitutive Systems and a Finitary Version of Cobham's Theorem.,Combat Models for RTS Games.
Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,Effects of vocabulary training by computer in kindergarten.
Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,Coincidence of cooperative game theoretic solutions in the appointment problem.
Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,Performance modeling of microsecond scale biological molecular dynamics simulations on heterogeneous architectures.
Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,New techniques for untestable fault identification in sequential circuits.
A clarification of confirmatory composite analysis (CCA).,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.
A clarification of confirmatory composite analysis (CCA).,On evolutionary computing in multi-ship trajectory planning.
A clarification of confirmatory composite analysis (CCA).,Effect of Game Based Balance Exercises on Rehabilitation After Knee Surgery: A Controlled Observational Study.
A clarification of confirmatory composite analysis (CCA).,Sensitive Functions and Approximate Problems.
A clarification of confirmatory composite analysis (CCA).,XV. Jean Paul (1763-1825).
"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case"".",Formal Lagrangian Operad.
"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case"".",CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.
"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case"".",A method to optimize evacuation instructions.
"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case"".",Literate specifications.
"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case"".",A Special Section on Cognitive Computing for Internet of Health Informatics Things.
Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.,Assessment of changes in urban green spaces of Mashad city using satellite data.
Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.,Performance modeling of microsecond scale biological molecular dynamics simulations on heterogeneous architectures.
Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.,UWB Channel Modeling in Roadway and Indoor Parking Environments.
Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.,On an algorithm for Vision-based hand gesture recognition.
Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.,Intermodulation performance of biased-nonlinearities.
TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.,Calculating the Maximum Execution Time of Real-Time Programs.
TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.,"Reconstruction of the Infection Curve for SARS Epidemic in Beijing, China Using a Back-Projection Method."
TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.,Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.
TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.,Workshop on multi-dimensional separation of concerns in software engineering.
TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.,Monotonicity properties of wholesale price contracts.
Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).,Social Media: An Eccentric Business Communication Tool for the 21st Century Marketers.
Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).,Keyword Search Over Probabilistic RDF Graphs.
Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).,Real-time multiview data fusion for object tracking with RGBD sensors.
Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).,Architectures reconfigurable et faible consommation. Réalité ou prospective ?
A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.,Dominating sets in triangulations on surfaces.
A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.
A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.,Numerical simulation of stochastic gene circuits.
A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.,Optimal Power for Microwave Slotted Probes in Ablating Different Hepatocellular Carcinoma Sizes.
A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.
A new data hiding approach for image steganography based on visual color sensitivity.,An efficiently computable subgraph pattern support measure: counting independent observations.
A new data hiding approach for image steganography based on visual color sensitivity.,Software Productivity in DevOps.
A new data hiding approach for image steganography based on visual color sensitivity.,A workflow management system to feed digital libraries: proposal and case study.
A new data hiding approach for image steganography based on visual color sensitivity.,Public Strategies for Artificial Intelligence: Which Value Drivers?
A new data hiding approach for image steganography based on visual color sensitivity.,A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Mixing network coding and cooperation for reliable wireless communications.
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Modeling Coverage in Camera Networks: A Survey.
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433."
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Domain-Independent Queries on Databases with External Functions.
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,Maximum Matchings in General Graphs Through Randomization.
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,H
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,Sparse and Dense Linear Algebra for Machine Learning on Parallel-RDBMS Using SQL.
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.
Prioritized Deployment of Dynamic Service Function Chains.,Accelerating Density Peak Clustering Algorithm.
Prioritized Deployment of Dynamic Service Function Chains.,Monotonicity properties of wholesale price contracts.
Prioritized Deployment of Dynamic Service Function Chains.,The First Summer School on Ubiquitous and Pervasive Computing.
Prioritized Deployment of Dynamic Service Function Chains.,Exponential stability and solution bounds for systems with bounded nonlinearities.
Analyzing the relationship between text features and grants productivity.,Private Cloud-Infrastrukturen und Cloud-Plattformen.
Analyzing the relationship between text features and grants productivity.,H
Analyzing the relationship between text features and grants productivity.,The Hierarchy of Distributional Chaos.
Analyzing the relationship between text features and grants productivity.,On a Free Boundary Problem for a Strongly Degenerate Quasi-Linear Parabolic Equation with an Application to a Model of Pressure Filtration.
Analyzing the relationship between text features and grants productivity.,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,Improving the prediction performance of customer behavior through multiple imputation.
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,Editorial Foreword.
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,Gains and limits of diversity techniques in cognitive radio systems.
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,Solving Some Affine Equations over Finite Fields.
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,FUCEM: futuristic cooperation evaluation model using Markov process for evaluating node reliability and link stability in mobile ad hoc network.
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,Supposed maximum information for comprehensible representations in SOM.
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,A workflow management system to feed digital libraries: proposal and case study.
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,Homophily and Social Norms in Experimental Network Formation Games.
Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.
Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,Traffic Hazards on the Superhighway.
Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,An Optimal Control Problem in Polyconvex Hyperelasticity.
Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,Animal behavior as a paradigm for developing robot autonomy.
Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,Cyber Crime: How Technology Makes it Easy and What to do About it.
A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.
A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,Making Customer Service a Priority.
A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,A Semantic web approach to handling soft constraints in virtual organisations.
A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,Improved hash and transmission method for larger packets in the RADIUS protocol.
A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,Productive Use of Failure in Inductive Proof.
Characteristic vector and weight distribution of a linear code.,Syntax and Semantics: A Categorical View
Characteristic vector and weight distribution of a linear code.,ReAlignerV: Web-based genomic alignment tool with high specificity and robustness estimated by species-specific insertion sequences.
Characteristic vector and weight distribution of a linear code.,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.
Characteristic vector and weight distribution of a linear code.,Perceptual non-intrusive speech quality assessment using a self-organizing map.
Characteristic vector and weight distribution of a linear code.,Parallelizing a finite element solver in computational hemodynamics.
Learning stacking regression for no-reference super-resolution image quality assessment.,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
Learning stacking regression for no-reference super-resolution image quality assessment.,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.
Learning stacking regression for no-reference super-resolution image quality assessment.,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.
Learning stacking regression for no-reference super-resolution image quality assessment.,Weblogging: A study of social computing and its impact on organizations.
Learning stacking regression for no-reference super-resolution image quality assessment.,Intelligent Modeling and Verification 2014.
Online detection and removal of eye blink artifacts from electroencephalogram.,Factors Influencing Continuous Breath Signal in Intubated and Mechanically-Ventilated Intensive Care Unit Patients Measured by an Electronic Nose.
Online detection and removal of eye blink artifacts from electroencephalogram.,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.
Online detection and removal of eye blink artifacts from electroencephalogram.,A Study of Search Intermediary Working Notes: Implications for IR System Design.
Online detection and removal of eye blink artifacts from electroencephalogram.,Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.
Online detection and removal of eye blink artifacts from electroencephalogram.,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.
An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.
An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.,The Changing Library Environment.
An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.,Semantics of Multiplicative Propositional Signed Sequent Calculi with Structural Rules.
An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.,Contactless palmprint verification system using 2-D gabor filter and principal component analysis.
An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.,Demand-oblivious routing with planned link pruning.
Well-posedness of the generalized Navier-Stokes equations with damping.,New March Tests for Multiport RAM Devices.
Well-posedness of the generalized Navier-Stokes equations with damping.,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.
Well-posedness of the generalized Navier-Stokes equations with damping.,Social Media: An Eccentric Business Communication Tool for the 21st Century Marketers.
Well-posedness of the generalized Navier-Stokes equations with damping.,Free at Last: The Future of Peer-Reviewed Journals.
Well-posedness of the generalized Navier-Stokes equations with damping.,Annular Neighboring Points Distribution Analysis: A Novel PLS Stem Point Cloud Preprocessing Algorithm for DBH Estimation.
Short-Term Electric Load Forecasting With Sparse Coding Methods.,Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.
Short-Term Electric Load Forecasting With Sparse Coding Methods.,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.
Short-Term Electric Load Forecasting With Sparse Coding Methods.,Two-stage Robust Network Design with Exponential Scenarios.
Short-Term Electric Load Forecasting With Sparse Coding Methods.,Dissociated multi-unit activity and local field potentials: A theory inspired analysis of a motor decision task.
Short-Term Electric Load Forecasting With Sparse Coding Methods.,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.
A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.
A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,"Corrigendum to ""Stable matchings and preferences of couples"" [J. Econ. Theory 121 (1) (2005) 75-106]."
A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,Design Optimization of Redundantly Actuated Cable-Driven Parallel Robots for Automated Warehouse System.
A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,FAC: A Functional APL Language.
On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,Maximum Matchings in General Graphs Through Randomization.
On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,Interpreting AI and its place in our worlds.
On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.
On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,On measuring the system coherency of quadratically nonlinear systems.
On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.
Parameter-Free Attention in fMRI Decoding.,A construction of vertex-transitive non-Cayley graphs.
Parameter-Free Attention in fMRI Decoding.,On evolutionary computing in multi-ship trajectory planning.
Parameter-Free Attention in fMRI Decoding.,Factors affecting primary health care centers' economic and production efficiency.
Parameter-Free Attention in fMRI Decoding.,Dedication.
Parameter-Free Attention in fMRI Decoding.,Recognition of abdominal organs using 3D mathematical morphology.
DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,Epistemology and economics.
DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,Factor copula models for multivariate data.
DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,Argumentation and CP-Boolean Games.
DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,Solving quadratic programs to high precision using scaled iterative refinement.
DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,Solving Some Affine Equations over Finite Fields.
Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.,A deployment methodology of real-time industrial control applications in distributed controllers.
Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.,Topologic Proofs of Some Combinatorial Theorems.
Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.,Methods for Comprehensive Analysis of Heat Supply Reliability.
Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.,The Game of Hacking Academic Websites.
Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.
Private and rateless adaptive coded matrix-vector multiplication.,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.
Private and rateless adaptive coded matrix-vector multiplication.,Approximability in the GPAC.
Private and rateless adaptive coded matrix-vector multiplication.,Issues in International Public Data Networking.
Private and rateless adaptive coded matrix-vector multiplication.,"Corrigendum to ""Stable matchings and preferences of couples"" [J. Econ. Theory 121 (1) (2005) 75-106]."
Private and rateless adaptive coded matrix-vector multiplication.,QoS-Aware Middleware for Web Services Composition.
Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.,Keyword Search Over Probabilistic RDF Graphs.
